,revolving_utilization_of_unsecured_lines,age,number_of_time30-59_days_past_due_not_worse,debt_ratio,monthly_income,number_of_open_credit_lines_and_loans,number_of_times90_days_late,number_real_estate_loans_or_lines,number_of_time60-89_days_past_due_not_worse,number_of_dependents,age^2,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,13.0,20.0
78185,0.014752693,44,0,0.415241058,4500.0,16,0,2,0,1.0,1936,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29544,0.9999998999999999,27,2,0.15818707,4500.0,2,1,0,1,0.0,729,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10788,0.609356416,40,0,0.5187517110000001,3652.0,9,1,1,0,0.0,1600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75364,0.198773497,52,0,0.34819289700000006,9600.0,3,0,1,0,2.0,2704,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147654,0.00927071,59,0,0.712902218,3200.0,16,0,1,0,0.0,3481,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48674,0.428244257,45,0,1.128297695,3600.0,10,0,1,0,3.0,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38298,0.012499534,41,0,0.37129596600000003,2800.0,7,0,0,1,2.0,1681,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48559,0.47447365700000005,31,0,0.6100628929999999,2225.0,5,0,0,0,1.0,961,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67916,1.029337804,41,4,0.405961854,15833.0,15,0,3,0,3.0,1681,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93008,0.0,45,0,0.282911803,6167.0,3,0,1,0,0.0,2025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122387,0.10793989699999999,49,0,0.382261774,10000.0,10,0,3,0,2.0,2401,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86428,0.9999998999999999,28,0,0.098278734,1800.0,1,1,0,0,0.0,784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111031,0.918304085,61,0,0.5895354079999999,6650.0,17,0,2,0,0.0,3721,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56346,0.007993555,67,0,1.039796303,5301.0,12,0,2,0,1.0,4489,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63268,0.42223820000000006,45,0,3727.0,6623.0,14,0,2,0,0.0,2025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101459,0.032299023999999996,37,0,0.46900688700000004,4500.0,11,0,1,0,1.0,1369,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75097,0.0067096659999999995,39,0,0.174768654,8536.0,7,0,1,0,2.0,1521,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37542,0.16404518699999998,52,0,0.343471377,12000.0,11,0,1,0,2.0,2704,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136701,0.302238638,73,1,0.346957312,1100.0,5,0,0,0,0.0,5329,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91065,0.43381870200000006,58,1,2.093912487,12500.0,26,0,8,0,0.0,3364,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78768,0.008866886,72,0,20.0,6623.0,7,0,0,0,0.0,5184,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87137,0.482145276,35,0,0.275787369,6000.0,13,0,2,0,3.0,1225,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49241,0.036107572000000004,68,0,0.022651317999999997,2692.0,6,0,0,0,0.0,4624,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,0.012151003,78,0,0.008886914000000001,4500.0,12,0,0,0,0.0,6084,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3013,0.007836415,71,0,1052.0,6623.0,15,0,1,0,0.0,5041,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127743,0.11319211900000001,46,0,0.256217973,8000.0,10,0,1,0,1.0,2116,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61112,0.126708252,59,0,0.612241798,6583.0,9,0,2,0,0.0,3481,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125869,0.0013332889999999999,43,1,0.411329137,2700.0,8,0,1,1,2.0,1849,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121090,0.244950059,59,0,0.31548312,11166.0,11,0,3,0,1.0,3481,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64293,0.023286197999999998,65,0,4871.0,6623.0,20,0,3,0,1.0,4225,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80561,0.014636053999999999,62,0,866.0,0.0,12,0,1,0,0.0,3844,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104459,0.337510245,52,0,0.311868813,10000.0,22,0,0,0,3.0,2704,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142157,0.011987401000000002,77,0,0.659560293,1500.0,13,0,1,0,0.0,5929,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113399,0.002380923,50,1,0.26855555600000003,17999.0,14,0,2,0,4.0,2500,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50220,0.766242518,56,0,0.636671655,35416.0,25,0,5,0,4.0,3136,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41216,0.058930477,33,0,0.004888346,9000.0,3,0,0,0,0.0,1089,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36458,0.089269689,61,0,0.16815221100000002,5833.0,9,0,1,0,0.0,3721,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24591,1.030881017,29,4,0.45021145700000004,2600.0,6,4,0,1,0.0,841,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128658,0.233063086,44,0,0.43457067899999996,8000.0,10,0,2,0,0.0,1936,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125153,0.146631137,66,0,0.275641026,4679.0,13,0,2,0,0.0,4356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69253,0.9999998999999999,30,0,0.0,2083.0,1,0,0,0,0.0,900,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,0.0059675859999999996,67,0,0.36909013,7000.0,24,0,2,0,0.0,4489,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66516,0.57571302,65,1,1.177661719,10913.0,33,0,3,0,0.0,4225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14943,0.243379266,32,1,515.0,6623.0,6,0,0,0,1.0,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31369,0.19059332,56,0,0.214878834,5900.0,7,0,1,0,2.0,3136,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128012,0.530832729,29,0,0.21940016199999998,3700.0,3,0,0,0,2.0,841,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12881,0.742658668,50,2,0.5036402170000001,10850.0,8,3,2,3,3.0,2500,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69500,0.146244854,36,0,0.27984681100000003,18016.0,11,0,2,0,1.0,1296,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9870,0.21688915600000003,71,0,1412.0,6623.0,4,0,2,0,0.0,5041,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51541,0.13052840400000001,46,1,0.204672993,9800.0,18,0,1,0,1.0,2116,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98184,0.976215565,64,0,2648.0,0.0,7,0,0,0,0.0,4096,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59454,0.943823289,42,2,0.065586883,5000.0,4,1,0,3,3.0,1764,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51796,0.08436397400000001,42,0,136.0,0.0,7,0,0,0,2.0,1764,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79816,0.349333062,43,0,0.38238615,5313.0,13,0,1,0,0.0,1849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5472,0.9999998999999999,34,0,0.075591319,4100.0,1,0,0,0,1.0,1156,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76318,0.248267858,52,0,0.832756632,2600.0,6,0,1,0,2.0,2704,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64840,0.9999998999999999,49,0,1.218227425,7175.0,10,0,2,0,0.0,2401,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67612,0.01875693,47,0,5969.0,6623.0,12,0,2,0,0.0,2209,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142906,0.44275572399999996,33,0,0.355122564,6363.0,5,0,1,0,3.0,1089,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134570,0.018720698,65,0,0.258058955,5800.0,12,0,1,0,0.0,4225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126531,0.9999998999999999,23,0,0.21331761899999999,1696.0,2,0,0,0,0.0,529,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70771,0.595654075,53,1,0.322879738,11000.0,9,0,1,0,0.0,2809,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105385,0.414632389,41,0,0.380391285,13493.0,22,0,3,0,0.0,1681,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99668,0.22256205199999998,45,0,0.126291236,3000.0,2,0,0,0,3.0,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59437,0.0,67,0,0.003498251,2000.0,6,0,0,0,0.0,4489,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95024,0.06354844,65,0,0.21496970899999998,5116.0,5,0,2,0,1.0,4225,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41197,0.364390379,49,0,0.88968073,7015.0,10,0,6,0,0.0,2401,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32471,0.9999998999999999,23,0,0.010747313,4000.0,0,1,0,0,0.0,529,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124141,0.108985841,50,0,0.9444250670000001,8600.0,13,0,2,0,0.0,2500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54499,0.0,41,0,0.0,8333.0,1,0,0,0,2.0,1681,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113495,0.081679506,64,0,2499.0,6623.0,5,0,1,0,0.0,4096,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4946,0.992225102,36,0,955.0,6623.0,8,0,0,0,0.0,1296,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114599,0.066499696,50,0,0.028398529,73700.0,11,0,1,0,2.0,2500,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111927,0.365454282,55,0,0.294150731,5333.0,7,0,1,0,0.0,3025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144239,0.9999998999999999,75,1,0.571857411,2664.0,9,0,2,0,0.0,5625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
962,0.030327811,70,0,1934.0,6623.0,11,0,2,0,0.0,4900,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69442,0.038982225,88,0,0.003239935,16666.0,7,0,0,0,0.0,7744,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73040,0.0,81,0,0.001030609,9702.0,4,0,0,0,0.0,6561,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2784,0.032583137000000005,31,0,0.06856359299999999,5833.0,8,0,0,0,0.0,961,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21569,0.867430712,83,0,0.788075745,16000.0,17,0,2,0,1.0,6889,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42714,0.33985283899999996,61,1,0.39534418600000004,25000.0,24,0,10,0,0.0,3721,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138665,0.000568461,47,0,0.40076793899999996,8333.0,13,0,2,0,2.0,2209,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113659,0.020615231,44,0,0.28798560100000004,6666.0,4,0,1,0,0.0,1936,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132839,0.032778889,53,0,0.253617945,5527.0,5,0,1,0,2.0,2809,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132639,0.008472499999999999,73,0,0.0042361659999999995,3776.0,6,0,0,0,0.0,5329,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10940,0.946504305,42,0,0.15911659,9734.0,6,0,0,0,3.0,1764,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105618,0.010071479,81,0,0.004188482,5729.0,7,0,0,0,0.0,6561,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36586,0.07781760900000001,71,0,0.33106689300000003,10000.0,19,0,3,0,0.0,5041,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90026,0.010192890999999999,33,0,0.806548363,4000.0,5,0,1,0,0.0,1089,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144253,0.0,29,0,0.450292398,170.0,4,0,0,0,3.0,841,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
